13:13:11.915 - accX: 58, accY: 12, accZ: 15
13:13:11.938 - accX: 60, accY: 12, accZ: 16
13:13:11.952 - accX: 62, accY: 12, accZ: 18
13:13:11.963 - accX: 60, accY: 12, accZ: 16
13:13:11.986 - accX: 59, accY: 12, accZ: 12
13:13:12.000 - accX: 55, accY: 12, accZ: 11
13:13:12.012 - accX: 55, accY: 12, accZ: 9
13:13:12.032 - accX: 56, accY: 14, accZ: 8
13:13:12.046 - accX: 56, accY: 16, accZ: 9
13:13:12.067 - accX: 55, accY: 17, accZ: 10
13:13:12.081 - accX: 56, accY: 17, accZ: 9
13:13:12.093 - accX: 57, accY: 16, accZ: 8
13:13:12.117 - accX: 60, accY: 17, accZ: 8
13:13:12.131 - accX: 64, accY: 17, accZ: 9
13:13:12.141 - accX: 66, accY: 17, accZ: 8
13:13:12.163 - accX: 67, accY: 16, accZ: 7
13:13:12.176 - accX: 67, accY: 16, accZ: 8
13:13:12.204 - accX: 69, accY: 18, accZ: 15
13:13:12.234 - accX: 67, accY: 18, accZ: 25
13:13:12.268 - accX: 61, accY: 11, accZ: 24
13:13:12.300 - accX: 62, accY: 7, accZ: 21
13:13:12.336 - accX: 58, accY: 5, accZ: 16
13:13:12.370 - accX: 58, accY: 5, accZ: 17
13:13:12.399 - accX: 67, accY: 8, accZ: 16
13:13:12.425 - accX: 68, accY: 8, accZ: 16
13:13:12.436 - accX: 67, accY: 8, accZ: 13
13:13:12.448 - accX: 66, accY: 8, accZ: 10
13:13:12.459 - accX: 64, accY: 10, accZ: 7
13:13:12.491 - accX: 64, accY: 13, accZ: 4
13:13:12.541 - accX: 59, accY: 21, accZ: -5
13:13:12.567 - accX: 60, accY: 22, accZ: -4
13:13:12.580 - accX: 61, accY: 22, accZ: -4
13:13:12.592 - accX: 62, accY: 22, accZ: -5
13:13:12.612 - accX: 63, accY: 19, accZ: -6
13:13:12.626 - accX: 61, accY: 16, accZ: -8
13:13:12.639 - accX: 60, accY: 14, accZ: -7
13:13:12.664 - accX: 61, accY: 12, accZ: -5
13:13:12.678 - accX: 65, accY: 12, accZ: -4
13:13:12.690 - accX: 65, accY: 10, accZ: -6
13:13:12.705 - accX: 67, accY: 11, accZ: -6
