14:23:37.772 - accX: 39, accY: -34, accZ: -24
14:23:37.796 - accX: 52, accY: -38, accZ: -35
14:23:37.812 - accX: 49, accY: -20, accZ: -4
14:23:37.826 - accX: -125, accY: 10, accZ: 127
14:23:37.842 - accX: -50, accY: 55, accZ: 61
14:23:37.857 - accX: 2, accY: 14, accZ: 3
14:23:37.875 - accX: -5, accY: 34, accZ: 39
14:23:37.891 - accX: 10, accY: 58, accZ: 55
14:23:37.912 - accX: 21, accY: 8, accZ: 18
14:23:37.926 - accX: 57, accY: 1, accZ: 52
14:23:37.937 - accX: -67, accY: -106, accZ: 114
14:23:37.962 - accX: -55, accY: 9, accZ: -32
14:23:37.976 - accX: -96, accY: -28, accZ: -78
14:23:37.990 - accX: -26, accY: 17, accZ: -17
14:23:38.004 - accX: -60, accY: 9, accZ: -7
14:23:38.018 - accX: -121, accY: 79, accZ: 81
14:23:38.041 - accX: 51, accY: -28, accZ: 63
14:23:38.057 - accX: 74, accY: -71, accZ: 66
14:23:38.069 - accX: -61, accY: -31, accZ: 20
14:23:38.083 - accX: -77, accY: -72, accZ: 3
14:23:38.108 - accX: -45, accY: -56, accZ: -27
14:23:38.149 - accX: -6, accY: 7, accZ: -6
14:23:38.180 - accX: -16, accY: 0, accZ: -9
14:23:38.191 - accX: -128, accY: -5, accZ: -37
14:23:38.205 - accX: -66, accY: 43, accZ: -33
14:23:38.219 - accX: -85, accY: -4, accZ: 20
14:23:38.235 - accX: -59, accY: -28, accZ: 16
14:23:38.247 - accX: -3, accY: 9, accZ: -9
14:23:38.263 - accX: 9, accY: -53, accZ: -53
14:23:38.286 - accX: -16, accY: -66, accZ: -99
14:23:38.302 - accX: -30, accY: -12, accZ: -60
14:23:38.316 - accX: -89, accY: -10, accZ: -81
14:23:38.330 - accX: -112, accY: 57, accZ: -117
14:23:38.347 - accX: -40, accY: 12, accZ: -20
14:23:38.363 - accX: -47, accY: 6, accZ: -7
14:23:38.376 - accX: -50, accY: 8, accZ: 15
14:23:38.393 - accX: -37, accY: 0, accZ: 24
14:23:38.417 - accX: -51, accY: -64, accZ: 43
14:23:38.436 - accX: -6, accY: -20, accZ: 4
14:23:38.456 - accX: 51, accY: -125, accZ: -111
14:23:38.473 - accX: 12, accY: -26, accZ: -46
14:23:38.489 - accX: -2, accY: 2, accZ: -9
14:23:38.505 - accX: -4, accY: -3, accZ: -12
14:23:38.522 - accX: -93, accY: -44, accZ: -23
14:23:38.539 - accX: -128, accY: -62, accZ: 87
14:23:38.554 - accX: -69, accY: -15, accZ: 35
14:23:38.571 - accX: -32, accY: -70, accZ: 34
14:23:38.584 - accX: 38, accY: -70, accZ: 44
14:23:38.596 - accX: 111, accY: 98, accZ: 4
14:23:38.612 - accX: 7, accY: 5, accZ: -3
14:23:38.626 - accX: 12, accY: -1, accZ: -3
14:23:38.639 - accX: -6, accY: -9, accZ: 0
14:23:38.653 - accX: -128, accY: -122, accZ: 44
14:23:38.677 - accX: -72, accY: -36, accZ: -66
14:23:38.691 - accX: -34, accY: -4, accZ: -57
14:23:38.704 - accX: -49, accY: -43, accZ: -57
14:23:38.727 - accX: -34, accY: -26, accZ: -45
14:23:38.744 - accX: -58, accY: -39, accZ: -22
14:23:38.765 - accX: -58, accY: -64, accZ: -29
14:23:38.797 - accX: 9, accY: 4, accZ: -12
14:23:38.836 - accX: 20, accY: 54, accZ: 2
14:23:38.881 - accX: -41, accY: -76, accZ: 73
14:23:38.926 - accX: 14, accY: 77, accZ: 7
14:23:38.957 - accX: 59, accY: 82, accZ: 11
14:23:38.999 - accX: 30, accY: -99, accZ: -37
14:23:39.014 - accX: 18, accY: -63, accZ: -35
14:23:39.036 - accX: 44, accY: -29, accZ: -3
14:23:39.056 - accX: 35, accY: -16, accZ: 1
14:23:39.071 - accX: 46, accY: 4, accZ: 37
14:23:39.093 - accX: 21, accY: 42, accZ: 46
14:23:39.107 - accX: -72, accY: 67, accZ: 100
14:23:39.140 - accX: -84, accY: 37, accZ: 68
14:23:39.181 - accX: -35, accY: -1, accZ: 36
14:23:39.220 - accX: 116, accY: 84, accZ: 88
14:23:39.253 - accX: 89, accY: -49, accZ: -68
14:23:39.268 - accX: 29, accY: -11, accZ: -65
14:23:39.291 - accX: 96, accY: -19, accZ: -23
