12:40:04.398 - accX: -6, accY: 2, accZ: 59
12:40:04.419 - accX: -8, accY: 1, accZ: 60
12:40:04.432 - accX: -6, accY: 4, accZ: 59
12:40:04.452 - accX: -7, accY: 2, accZ: 60
12:40:04.465 - accX: -8, accY: 2, accZ: 59
12:40:04.486 - accX: -7, accY: 3, accZ: 59
12:40:04.499 - accX: -8, accY: 3, accZ: 60
12:40:04.521 - accX: -7, accY: 2, accZ: 60
12:40:04.533 - accX: -7, accY: 2, accZ: 60
12:40:04.553 - accX: -7, accY: 2, accZ: 59
12:40:04.565 - accX: -7, accY: 4, accZ: 61
12:40:04.589 - accX: -7, accY: 3, accZ: 60
12:40:04.602 - accX: -7, accY: 3, accZ: 60
12:40:04.610 - accX: -7, accY: 3, accZ: 60
12:40:04.628 - accX: -7, accY: 2, accZ: 60
12:40:04.650 - accX: -7, accY: 3, accZ: 60
12:40:04.663 - accX: -6, accY: 2, accZ: 60
12:40:04.682 - accX: -7, accY: 1, accZ: 59
12:40:04.694 - accX: -7, accY: 3, accZ: 60
12:40:04.716 - accX: -7, accY: 3, accZ: 59
12:40:04.729 - accX: -7, accY: 2, accZ: 60
12:40:04.748 - accX: -7, accY: 2, accZ: 59
12:40:04.760 - accX: -7, accY: 3, accZ: 60
12:40:04.781 - accX: -7, accY: 3, accZ: 60
12:40:04.794 - accX: -7, accY: 3, accZ: 60
12:40:04.812 - accX: -7, accY: 3, accZ: 60
12:40:04.825 - accX: -8, accY: 3, accZ: 60
12:40:04.846 - accX: -7, accY: 3, accZ: 60
12:40:04.859 - accX: -7, accY: 2, accZ: 60
12:40:04.879 - accX: -7, accY: 3, accZ: 60
12:40:04.891 - accX: -6, accY: 2, accZ: 60
12:40:04.911 - accX: -6, accY: 2, accZ: 60
12:40:04.923 - accX: -7, accY: 3, accZ: 60
12:40:04.944 - accX: -7, accY: 2, accZ: 60
12:40:04.957 - accX: -7, accY: 3, accZ: 59
12:40:04.968 - accX: -6, accY: 2, accZ: 59
12:40:04.988 - accX: -7, accY: 3, accZ: 60
12:40:05.002 - accX: -7, accY: 3, accZ: 59
12:40:05.021 - accX: -7, accY: 3, accZ: 59
12:40:05.034 - accX: -7, accY: 2, accZ: 60
12:40:05.054 - accX: -6, accY: 2, accZ: 59
12:40:05.075 - accX: -6, accY: 2, accZ: 60
12:40:05.088 - accX: -8, accY: 2, accZ: 60
12:40:05.098 - accX: -7, accY: 2, accZ: 60
12:40:05.114 - accX: -7, accY: 3, accZ: 59
12:40:05.140 - accX: -6, accY: 3, accZ: 60
12:40:05.156 - accX: -6, accY: 3, accZ: 60
12:40:05.165 - accX: -7, accY: 2, accZ: 59
12:40:05.188 - accX: -7, accY: 4, accZ: 60
12:40:05.202 - accX: -7, accY: 4, accZ: 60
12:40:05.221 - accX: -6, accY: 2, accZ: 60
12:40:05.234 - accX: -6, accY: 3, accZ: 59
12:40:05.245 - accX: -7, accY: 3, accZ: 59
12:40:05.264 - accX: -7, accY: 3, accZ: 60
12:40:05.277 - accX: -6, accY: 3, accZ: 59
12:40:05.297 - accX: -7, accY: 2, accZ: 60
12:40:05.310 - accX: -7, accY: 2, accZ: 60
12:40:05.327 - accX: -7, accY: 3, accZ: 59
12:40:05.348 - accX: -7, accY: 3, accZ: 60
12:40:05.362 - accX: -7, accY: 2, accZ: 60
12:40:05.381 - accX: -6, accY: 2, accZ: 59
12:40:05.397 - accX: -6, accY: 2, accZ: 59
12:40:05.411 - accX: -7, accY: 2, accZ: 59
12:40:05.452 - accX: -7, accY: 2, accZ: 59
12:40:05.469 - accX: -8, accY: 3, accZ: 58
12:40:05.481 - accX: -13, accY: -6, accZ: 114
12:40:05.498 - accX: 11, accY: -5, accZ: 74
12:40:05.514 - accX: -41, accY: -38, accZ: 49
12:40:05.539 - accX: -10, accY: -4, accZ: 58
12:40:05.556 - accX: -8, accY: 6, accZ: 67
12:40:05.570 - accX: -5, accY: 13, accZ: 76
12:40:05.581 - accX: -7, accY: 4, accZ: 81
12:40:05.604 - accX: -6, accY: 0, accZ: 76
12:40:05.618 - accX: 7, accY: 3, accZ: 76
12:40:05.630 - accX: 15, accY: 7, accZ: 74
12:40:05.652 - accX: 11, accY: 3, accZ: 65
12:40:05.666 - accX: 7, accY: 0, accZ: 59
12:40:05.679 - accX: 18, accY: 4, accZ: 53
12:40:05.700 - accX: 26, accY: 8, accZ: 57
12:40:05.713 - accX: 24, accY: 9, accZ: 60
12:40:05.725 - accX: 25, accY: 9, accZ: 61
12:40:05.746 - accX: 27, accY: 11, accZ: 58
12:40:05.760 - accX: 28, accY: 11, accZ: 51
12:40:05.783 - accX: 32, accY: 12, accZ: 47
12:40:05.800 - accX: 41, accY: 15, accZ: 45
12:40:05.812 - accX: 45, accY: 16, accZ: 45
