13:37:08.990 - accX: -3, accY: 66, accZ: -2
13:37:09.003 - accX: -3, accY: 66, accZ: -2
13:37:09.022 - accX: -3, accY: 67, accZ: -4
13:37:09.052 - accX: -3, accY: 66, accZ: -3
13:37:09.076 - accX: -3, accY: 67, accZ: -3
13:37:09.098 - accX: -3, accY: 66, accZ: -3
13:37:09.121 - accX: -2, accY: 66, accZ: -3
13:37:09.145 - accX: -2, accY: 66, accZ: -3
13:37:09.163 - accX: -3, accY: 66, accZ: -3
13:37:09.185 - accX: -3, accY: 66, accZ: -3
13:37:09.203 - accX: -2, accY: 66, accZ: -3
13:37:09.227 - accX: -3, accY: 67, accZ: -3
13:37:09.254 - accX: -4, accY: 67, accZ: -4
13:37:09.280 - accX: -3, accY: 66, accZ: -2
13:37:09.305 - accX: -2, accY: 66, accZ: -2
13:37:09.315 - accX: -2, accY: 66, accZ: -3
13:37:09.331 - accX: -3, accY: 67, accZ: -3
13:37:09.356 - accX: -3, accY: 67, accZ: -3
13:37:09.372 - accX: -2, accY: 67, accZ: -2
13:37:09.382 - accX: -2, accY: 66, accZ: -3
13:37:09.403 - accX: -3, accY: 67, accZ: -3
13:37:09.417 - accX: -2, accY: 66, accZ: -3
13:37:09.442 - accX: -3, accY: 66, accZ: -3
13:37:09.457 - accX: -2, accY: 66, accZ: -3
13:37:09.467 - accX: -3, accY: 66, accZ: -3
13:37:09.512 - accX: -1, accY: 66, accZ: -3
13:37:09.560 - accX: -2, accY: 67, accZ: -3
13:37:09.617 - accX: -2, accY: 66, accZ: -4
13:37:09.633 - accX: -3, accY: 66, accZ: -3
13:37:09.645 - accX: -3, accY: 67, accZ: -4
13:37:09.683 - accX: -3, accY: 66, accZ: -4
13:37:09.698 - accX: -3, accY: 66, accZ: -3
13:37:09.706 - accX: -4, accY: 67, accZ: -3
13:37:09.727 - accX: -3, accY: 67, accZ: -3
13:37:09.740 - accX: -3, accY: 66, accZ: -3
13:37:09.765 - accX: -3, accY: 66, accZ: -4
13:37:09.779 - accX: -2, accY: 66, accZ: -3
13:37:09.789 - accX: -2, accY: 67, accZ: -3
13:37:09.814 - accX: -3, accY: 66, accZ: -4
13:37:09.828 - accX: -2, accY: 67, accZ: -3
13:37:09.838 - accX: -3, accY: 66, accZ: -3
13:37:09.858 - accX: -3, accY: 67, accZ: -4
13:37:09.874 - accX: -2, accY: 67, accZ: -3
13:37:09.885 - accX: -3, accY: 66, accZ: -3
13:37:09.905 - accX: -3, accY: 66, accZ: -3
13:37:09.918 - accX: -3, accY: 66, accZ: -3
13:37:09.938 - accX: -3, accY: 66, accZ: -3
13:37:09.953 - accX: -3, accY: 67, accZ: -3
13:37:09.982 - accX: -2, accY: 65, accZ: -3
13:37:10.000 - accX: -3, accY: 66, accZ: -3
13:37:10.023 - accX: -2, accY: 66, accZ: -4
13:37:10.040 - accX: -3, accY: 67, accZ: -3
13:37:10.056 - accX: -2, accY: 66, accZ: -4
13:37:10.069 - accX: -3, accY: 66, accZ: -2
13:37:10.092 - accX: -3, accY: 66, accZ: -3
13:37:10.114 - accX: -4, accY: 65, accZ: -2
13:37:10.129 - accX: -3, accY: 66, accZ: -3
13:37:10.142 - accX: -4, accY: 67, accZ: -3
13:37:10.155 - accX: -3, accY: 66, accZ: -3
13:37:10.167 - accX: -4, accY: 66, accZ: -4
13:37:10.195 - accX: -2, accY: 66, accZ: -3
13:37:10.210 - accX: -3, accY: 66, accZ: -3
13:37:10.219 - accX: -3, accY: 66, accZ: -3
13:37:10.227 - accX: -3, accY: 66, accZ: -3
13:37:10.244 - accX: -3, accY: 67, accZ: -3
13:37:10.261 - accX: -2, accY: 66, accZ: -3
13:37:10.291 - accX: -4, accY: 67, accZ: -3
13:37:10.310 - accX: -3, accY: 70, accZ: -4
13:37:10.327 - accX: -3, accY: 66, accZ: -3
13:37:10.356 - accX: -3, accY: 66, accZ: -3
13:37:10.376 - accX: -3, accY: 66, accZ: -3
13:37:10.405 - accX: -4, accY: 66, accZ: -4
13:37:10.421 - accX: -3, accY: 67, accZ: -3
13:37:10.437 - accX: -2, accY: 65, accZ: -3
13:37:10.449 - accX: -3, accY: 66, accZ: -3
13:37:10.460 - accX: -3, accY: 66, accZ: -3
13:37:10.482 - accX: -3, accY: 66, accZ: -2
13:37:10.503 - accX: -2, accY: 66, accZ: -3
13:37:10.528 - accX: -3, accY: 67, accZ: -3
13:37:10.543 - accX: -3, accY: 66, accZ: -3
13:37:10.560 - accX: -3, accY: 66, accZ: -3
13:37:10.568 - accX: -3, accY: 65, accZ: -3
13:37:10.590 - accX: -3, accY: 66, accZ: -4
13:37:10.605 - accX: -2, accY: 68, accZ: -3
13:37:10.623 - accX: -2, accY: 66, accZ: -3
13:37:10.634 - accX: -3, accY: 65, accZ: -4
13:37:10.660 - accX: -3, accY: 67, accZ: -4
13:37:10.674 - accX: -3, accY: 66, accZ: -4
13:37:10.688 - accX: -3, accY: 66, accZ: -3
13:37:10.698 - accX: -2, accY: 66, accZ: -3
13:37:10.725 - accX: -2, accY: 67, accZ: -4
13:37:10.744 - accX: -4, accY: 67, accZ: -3
13:37:10.755 - accX: -3, accY: 67, accZ: -3
13:37:10.766 - accX: -4, accY: 66, accZ: -3
13:37:10.787 - accX: -3, accY: 66, accZ: -3
13:37:10.805 - accX: -3, accY: 67, accZ: -4
13:37:10.816 - accX: -3, accY: 66, accZ: -3
13:37:10.838 - accX: -3, accY: 66, accZ: -3
13:37:10.854 - accX: -3, accY: 66, accZ: -4
13:37:10.865 - accX: -4, accY: 66, accZ: -4
13:37:10.887 - accX: -2, accY: 67, accZ: -3
13:37:10.901 - accX: -3, accY: 66, accZ: -4
13:37:10.912 - accX: -3, accY: 67, accZ: -3
13:37:10.936 - accX: -2, accY: 67, accZ: -3
13:37:10.950 - accX: -3, accY: 66, accZ: -2
13:37:10.962 - accX: -3, accY: 67, accZ: -4
13:37:10.984 - accX: -3, accY: 66, accZ: -3
13:37:10.998 - accX: -3, accY: 67, accZ: -3
13:37:11.008 - accX: -3, accY: 67, accZ: -3
13:37:11.027 - accX: -3, accY: 67, accZ: -3
13:37:11.040 - accX: -3, accY: 67, accZ: -4
13:37:11.060 - accX: -2, accY: 66, accZ: -3
13:37:11.074 - accX: -3, accY: 66, accZ: -3
13:37:11.095 - accX: -2, accY: 66, accZ: -3
13:37:11.125 - accX: -3, accY: 66, accZ: -4
13:37:11.153 - accX: -2, accY: 66, accZ: -3
13:37:11.180 - accX: -3, accY: 67, accZ: -2
13:37:11.211 - accX: -2, accY: 67, accZ: -4
13:37:11.238 - accX: -3, accY: 67, accZ: -4
13:37:11.262 - accX: -3, accY: 66, accZ: -3
13:37:11.283 - accX: -3, accY: 66, accZ: -3
13:37:11.290 - accX: -2, accY: 66, accZ: -3
13:37:11.309 - accX: -3, accY: 67, accZ: -3
13:37:11.323 - accX: -3, accY: 67, accZ: -3
13:37:11.341 - accX: -3, accY: 66, accZ: -3
13:37:11.355 - accX: -2, accY: 67, accZ: -3
13:37:11.367 - accX: -4, accY: 67, accZ: -4
13:37:11.392 - accX: -4, accY: 66, accZ: -3
13:37:11.409 - accX: -2, accY: 66, accZ: -3
13:37:11.420 - accX: -3, accY: 66, accZ: -4
13:37:11.432 - accX: -3, accY: 67, accZ: -4
13:37:11.451 - accX: -3, accY: 66, accZ: -4
13:37:11.464 - accX: -2, accY: 67, accZ: -3
13:37:11.489 - accX: -2, accY: 66, accZ: -4
13:37:11.503 - accX: -3, accY: 66, accZ: -4
13:37:11.513 - accX: -3, accY: 66, accZ: -3
13:37:11.534 - accX: -2, accY: 66, accZ: -3
13:37:11.547 - accX: -4, accY: 67, accZ: -2
13:37:11.571 - accX: -3, accY: 66, accZ: -2
13:37:11.586 - accX: -3, accY: 66, accZ: -4
13:37:11.596 - accX: -3, accY: 66, accZ: -3
13:37:11.619 - accX: -3, accY: 66, accZ: -3
13:37:11.634 - accX: -3, accY: 66, accZ: -3
13:37:11.642 - accX: -3, accY: 67, accZ: -4
13:37:11.663 - accX: -3, accY: 67, accZ: -3
13:37:11.676 - accX: -3, accY: 67, accZ: -4
13:37:11.696 - accX: -3, accY: 66, accZ: -2
13:37:11.710 - accX: -3, accY: 65, accZ: -3
13:37:11.734 - accX: -3, accY: 66, accZ: -3
13:37:11.747 - accX: -4, accY: 67, accZ: -4
13:37:11.758 - accX: -3, accY: 67, accZ: -4
13:37:11.778 - accX: -3, accY: 66, accZ: -4
13:37:11.792 - accX: -3, accY: 66, accZ: -3
13:37:11.817 - accX: -3, accY: 66, accZ: -3
13:37:11.832 - accX: -3, accY: 66, accZ: -3
13:37:11.851 - accX: -3, accY: 67, accZ: -4
13:37:11.866 - accX: -3, accY: 67, accZ: -3
13:37:11.886 - accX: -3, accY: 67, accZ: -3
13:37:11.900 - accX: -3, accY: 67, accZ: -4
13:37:11.910 - accX: -3, accY: 65, accZ: -3
13:37:11.930 - accX: -3, accY: 66, accZ: -3
13:37:11.948 - accX: -3, accY: 66, accZ: -3
13:37:11.975 - accX: -3, accY: 67, accZ: -3
13:37:11.992 - accX: -3, accY: 67, accZ: -4
13:37:12.002 - accX: -3, accY: 67, accZ: -3
13:37:12.012 - accX: -2, accY: 66, accZ: -3
13:37:12.035 - accX: -2, accY: 66, accZ: -3
13:37:12.048 - accX: -3, accY: 66, accZ: -3
13:37:12.059 - accX: -3, accY: 66, accZ: -4
13:37:12.081 - accX: -2, accY: 67, accZ: -2
13:37:12.096 - accX: -3, accY: 66, accZ: -4
13:37:12.107 - accX: -3, accY: 65, accZ: -3
13:37:12.131 - accX: -3, accY: 67, accZ: -3
13:37:12.145 - accX: -3, accY: 67, accZ: -2
13:37:12.155 - accX: -3, accY: 66, accZ: -4
13:37:12.176 - accX: -3, accY: 65, accZ: -3
13:37:12.190 - accX: -3, accY: 67, accZ: -2
13:37:12.213 - accX: -5, accY: 64, accZ: 3
13:37:12.227 - accX: -3, accY: 64, accZ: 0
13:37:12.238 - accX: -2, accY: 67, accZ: 0
13:37:12.261 - accX: -5, accY: 66, accZ: -1
13:37:12.274 - accX: -4, accY: 67, accZ: -2
13:37:12.286 - accX: 0, accY: 66, accZ: -11
13:37:12.310 - accX: 0, accY: 67, accZ: -8
13:37:12.323 - accX: -1, accY: 69, accZ: -6
13:37:12.337 - accX: 3, accY: 71, accZ: -9
13:37:12.350 - accX: 8, accY: 70, accZ: -34
13:37:12.369 - accX: 2, accY: 74, accZ: -27
13:37:12.383 - accX: 6, accY: 68, accZ: -20
13:37:12.407 - accX: 9, accY: 71, accZ: -17
13:37:12.422 - accX: 4, accY: 76, accZ: -16
13:37:12.453 - accX: -1, accY: 77, accZ: -29
13:37:12.485 - accX: 0, accY: 69, accZ: -51
13:37:12.525 - accX: 0, accY: 70, accZ: -51
13:37:12.547 - accX: -3, accY: 68, accZ: -59
13:37:12.570 - accX: 2, accY: 62, accZ: -65
13:37:12.588 - accX: 8, accY: 56, accZ: -71
13:37:12.600 - accX: 13, accY: 48, accZ: -76
13:37:12.612 - accX: 15, accY: 47, accZ: -82
13:37:12.636 - accX: 50, accY: 49, accZ: -56
13:37:12.650 - accX: 30, accY: 33, accZ: -42
13:37:12.662 - accX: 12, accY: 8, accZ: -28
13:37:12.684 - accX: -2, accY: -2, accZ: -24
13:37:12.698 - accX: -7, accY: -10, accZ: -35
13:37:12.710 - accX: -2, accY: -27, accZ: -61
13:37:12.733 - accX: 5, accY: -43, accZ: -66
13:37:12.746 - accX: 1, accY: -50, accZ: -53
13:37:12.757 - accX: 0, accY: 7, accZ: -31
13:37:12.781 - accX: 0, accY: 11, accZ: -29
13:37:12.792 - accX: 26, accY: -47, accZ: 1
13:37:12.807 - accX: 99, accY: 127, accZ: 103
13:37:12.820 - accX: -38, accY: 97, accZ: 30
13:37:12.838 - accX: -35, accY: 40, accZ: 14
13:37:12.850 - accX: -46, accY: 42, accZ: 26
13:37:12.871 - accX: -126, accY: 68, accZ: 113
13:37:12.885 - accX: 51, accY: -106, accZ: 127
13:37:12.899 - accX: 33, accY: 18, accZ: -5
13:37:12.914 - accX: 63, accY: 42, accZ: -21
13:37:12.937 - accX: 0, accY: 3, accZ: -5
13:37:12.951 - accX: 18, accY: 18, accZ: 15
13:37:12.965 - accX: -121, accY: 127, accZ: 127
13:37:12.980 - accX: -48, accY: -7, accZ: 65
13:37:12.994 - accX: -31, accY: -30, accZ: 43
13:37:13.020 - accX: -1, accY: 15, accZ: -5
13:37:13.034 - accX: 0, accY: -21, accZ: 40
13:37:13.048 - accX: 70, accY: 46, accZ: -41
13:37:13.063 - accX: 10, accY: 28, accZ: 14
13:37:13.080 - accX: 26, accY: 85, accZ: 49
13:37:13.114 - accX: 2, accY: 2, accZ: -3
13:37:13.155 - accX: 72, accY: -124, accZ: 126
13:37:13.200 - accX: -51, accY: 63, accZ: 70
13:37:13.220 - accX: 28, accY: 87, accZ: 84
13:37:13.236 - accX: 13, accY: 32, accZ: 29
13:37:13.252 - accX: 22, accY: 51, accZ: 50
13:37:13.264 - accX: 14, accY: 29, accZ: 25
13:37:13.276 - accX: 31, accY: -18, accZ: 21
13:37:13.288 - accX: 18, accY: -103, accZ: 101
13:37:13.301 - accX: -87, accY: -86, accZ: 47
13:37:13.339 - accX: 18, accY: -21, accZ: 12
13:37:13.383 - accX: 93, accY: 90, accZ: 118
13:37:13.424 - accX: 33, accY: 44, accZ: 38
13:37:13.447 - accX: 19, accY: 27, accZ: 22
13:37:13.458 - accX: 16, accY: 1, accZ: 5
13:37:13.472 - accX: 89, accY: -90, accZ: 57
13:37:13.485 - accX: -117, accY: -117, accZ: 40
13:37:13.498 - accX: -8, accY: 3, accZ: -2
13:37:13.542 - accX: -60, accY: -47, accZ: 89
13:37:13.584 - accX: 11, accY: 2, accZ: 6
13:37:13.627 - accX: 84, accY: -66, accZ: -45
13:37:13.643 - accX: 23, accY: -24, accZ: 14
13:37:13.659 - accX: 59, accY: -6, accZ: 46
13:37:13.675 - accX: 61, accY: 18, accZ: 34
13:37:13.692 - accX: 62, accY: 7, accZ: 29
13:37:13.708 - accX: 88, accY: -9, accZ: 14
13:37:13.725 - accX: 38, accY: -12, accZ: -17
