12:22:17.936 - accX: -48, accY: 47, accZ: 9
12:22:17.959 - accX: -48, accY: 43, accZ: 2
12:22:17.974 - accX: -46, accY: 42, accZ: 13
12:22:17.987 - accX: -47, accY: 40, accZ: 15
12:22:17.999 - accX: -39, accY: 40, accZ: 21
12:22:18.019 - accX: -44, accY: 43, accZ: 20
12:22:18.035 - accX: -48, accY: 34, accZ: 12
12:22:18.057 - accX: -45, accY: 40, accZ: 20
12:22:18.092 - accX: -46, accY: 28, accZ: 12
12:22:18.126 - accX: -51, accY: 42, accZ: 15
12:22:18.162 - accX: -49, accY: 28, accZ: 1
12:22:18.202 - accX: -52, accY: 18, accZ: -2
12:22:18.237 - accX: -54, accY: 26, accZ: -1
12:22:18.271 - accX: -79, accY: 31, accZ: -6
12:22:18.310 - accX: -63, accY: 15, accZ: 0
12:22:18.346 - accX: -63, accY: 11, accZ: 1
12:22:18.357 - accX: -63, accY: 10, accZ: -2
12:22:18.379 - accX: -63, accY: 9, accZ: -2
12:22:18.393 - accX: -59, accY: 5, accZ: 0
12:22:18.407 - accX: -57, accY: 6, accZ: -1
12:22:18.432 - accX: -66, accY: 6, accZ: -2
12:22:18.447 - accX: -69, accY: 9, accZ: -4
12:22:18.459 - accX: -63, accY: 8, accZ: -2
12:22:18.471 - accX: -62, accY: 9, accZ: -1
12:22:18.492 - accX: -61, accY: 8, accZ: 0
12:22:18.505 - accX: -64, accY: 10, accZ: -2
12:22:18.542 - accX: -59, accY: 9, accZ: -1
12:22:18.586 - accX: -64, accY: 11, accZ: 0
12:22:18.628 - accX: -61, accY: 10, accZ: -4
12:22:18.666 - accX: -62, accY: 10, accZ: -4
12:22:18.699 - accX: -66, accY: 10, accZ: -3
12:22:18.732 - accX: -63, accY: 10, accZ: -3
12:22:18.767 - accX: -59, accY: 10, accZ: -3
12:22:18.804 - accX: -62, accY: 11, accZ: -7
12:22:18.830 - accX: -61, accY: 1, accZ: -9
12:22:18.854 - accX: -58, accY: 1, accZ: -8
12:22:18.868 - accX: -62, accY: 7, accZ: -9
12:22:18.881 - accX: -62, accY: 3, accZ: -10
12:22:18.913 - accX: -60, accY: 3, accZ: -3
12:22:18.950 - accX: -62, accY: -9, accZ: -21
12:22:19.000 - accX: -64, accY: 5, accZ: -12
12:22:19.013 - accX: -65, accY: 6, accZ: -9
12:22:19.026 - accX: -67, accY: 5, accZ: -7
12:22:19.046 - accX: -65, accY: 3, accZ: -8
12:22:19.062 - accX: -66, accY: 2, accZ: -7
12:22:19.073 - accX: -62, accY: 1, accZ: -13
12:22:19.099 - accX: -65, accY: 4, accZ: -9
12:22:19.113 - accX: -69, accY: 6, accZ: -9
12:22:19.125 - accX: -64, accY: 0, accZ: -12
12:22:19.147 - accX: -64, accY: 1, accZ: -14
12:22:19.162 - accX: -62, accY: -1, accZ: -12
12:22:19.175 - accX: -61, accY: 1, accZ: -8
12:22:19.189 - accX: -59, accY: 0, accZ: -9
12:22:19.201 - accX: -58, accY: 0, accZ: -9
12:22:19.213 - accX: -61, accY: 2, accZ: -11
12:22:19.237 - accX: -59, accY: 0, accZ: -9
12:22:19.250 - accX: -56, accY: 2, accZ: -8
12:22:19.263 - accX: -58, accY: 1, accZ: -7
12:22:19.285 - accX: -63, accY: 2, accZ: -8
12:22:19.302 - accX: -62, accY: 2, accZ: -11
12:22:19.315 - accX: -61, accY: 2, accZ: -8
12:22:19.328 - accX: -63, accY: 2, accZ: -10
12:22:19.341 - accX: -62, accY: 3, accZ: -11
12:22:19.367 - accX: -61, accY: 2, accZ: -9
12:22:19.381 - accX: -63, accY: 1, accZ: -10
12:22:19.394 - accX: -68, accY: 1, accZ: -10
12:22:19.406 - accX: -69, accY: 1, accZ: -11
12:22:19.428 - accX: -63, accY: -1, accZ: -9
12:22:19.443 - accX: -67, accY: 0, accZ: -6
12:22:19.458 - accX: -65, accY: -3, accZ: -10
12:22:19.472 - accX: -65, accY: -2, accZ: -8
12:22:19.498 - accX: -66, accY: -2, accZ: -5
12:22:19.514 - accX: -65, accY: -4, accZ: -3
12:22:19.527 - accX: -67, accY: -4, accZ: -5
12:22:19.540 - accX: -70, accY: -6, accZ: -5
12:22:19.563 - accX: -68, accY: -5, accZ: -6
12:22:19.579 - accX: -66, accY: -6, accZ: -3
12:22:19.592 - accX: -65, accY: -5, accZ: -3
12:22:19.605 - accX: -58, accY: -7, accZ: -5
12:22:19.627 - accX: -60, accY: -6, accZ: -4
12:22:19.642 - accX: -60, accY: -7, accZ: -3
12:22:19.654 - accX: -57, accY: -5, accZ: -2
12:22:19.679 - accX: -59, accY: -7, accZ: -4
12:22:19.699 - accX: -59, accY: -7, accZ: -6
12:22:19.711 - accX: -60, accY: -6, accZ: -5
12:22:19.724 - accX: -58, accY: -5, accZ: -4
12:22:19.737 - accX: -57, accY: -5, accZ: 0
12:22:19.752 - accX: -59, accY: -4, accZ: 1
12:22:19.773 - accX: -58, accY: -5, accZ: 1
12:22:19.789 - accX: -64, accY: -3, accZ: 3
12:22:19.801 - accX: -63, accY: -4, accZ: 0
12:22:19.816 - accX: -62, accY: -2, accZ: 2
12:22:19.830 - accX: -63, accY: -3, accZ: 2
12:22:19.857 - accX: -63, accY: -4, accZ: 3
12:22:19.872 - accX: -62, accY: -1, accZ: 4
12:22:19.884 - accX: -62, accY: -3, accZ: 6
12:22:19.897 - accX: -63, accY: -2, accZ: 7
12:22:19.920 - accX: -65, accY: -2, accZ: 8
12:22:19.936 - accX: -63, accY: -1, accZ: 11
12:22:19.949 - accX: -63, accY: -1, accZ: 12
12:22:19.961 - accX: -60, accY: 0, accZ: 12
12:22:19.984 - accX: -56, accY: -1, accZ: 10
12:22:20.000 - accX: -41, accY: 1, accZ: 10
12:22:20.013 - accX: -37, accY: -1, accZ: 14
12:22:20.027 - accX: -57, accY: -1, accZ: 7
12:22:20.041 - accX: -75, accY: -1, accZ: 8
12:22:20.063 - accX: -73, accY: 4, accZ: 17
12:22:20.079 - accX: -58, accY: 4, accZ: 16
