13:00:05.911 - accX: 65, accY: 3, accZ: 3
13:00:05.924 - accX: 64, accY: 3, accZ: 3
13:00:05.944 - accX: 66, accY: 4, accZ: 3
13:00:05.959 - accX: 67, accY: 3, accZ: 3
13:00:05.969 - accX: 66, accY: 5, accZ: 6
13:00:05.990 - accX: 66, accY: 8, accZ: 5
13:00:06.003 - accX: 64, accY: 9, accZ: 7
13:00:06.023 - accX: 66, accY: 9, accZ: 7
13:00:06.037 - accX: 66, accY: 11, accZ: 7
13:00:06.056 - accX: 67, accY: 11, accZ: 9
13:00:06.069 - accX: 67, accY: 11, accZ: 12
13:00:06.091 - accX: 67, accY: 13, accZ: 7
13:00:06.104 - accX: 67, accY: 13, accZ: 4
13:00:06.124 - accX: 73, accY: 14, accZ: 4
13:00:06.138 - accX: 77, accY: 13, accZ: 9
13:00:06.148 - accX: 74, accY: 14, accZ: 9
13:00:06.170 - accX: 72, accY: 16, accZ: 6
13:00:06.183 - accX: 77, accY: 16, accZ: 12
13:00:06.207 - accX: 83, accY: 19, accZ: 19
13:00:06.221 - accX: 82, accY: 18, accZ: 19
13:00:06.248 - accX: 79, accY: 16, accZ: 12
13:00:06.279 - accX: 67, accY: 16, accZ: 6
13:00:06.312 - accX: 48, accY: 19, accZ: 23
13:00:06.347 - accX: 29, accY: 27, accZ: 33
13:00:06.377 - accX: 18, accY: 43, accZ: 42
13:00:06.409 - accX: -12, accY: 39, accZ: 26
13:00:06.441 - accX: -36, accY: 54, accZ: 42
13:00:06.472 - accX: -41, accY: 33, accZ: 33
13:00:06.503 - accX: -44, accY: -1, accZ: 35
13:00:06.537 - accX: -3, accY: 28, accZ: -9
13:00:06.580 - accX: 43, accY: 16, accZ: -55
13:00:06.595 - accX: 31, accY: 18, accZ: -89
13:00:06.607 - accX: 31, accY: -12, accZ: -33
13:00:06.618 - accX: 56, accY: -35, accZ: -56
13:00:06.629 - accX: 58, accY: -93, accZ: 12
13:00:06.654 - accX: 35, accY: -36, accZ: 38
13:00:06.667 - accX: 14, accY: -13, accZ: 18
13:00:06.677 - accX: 64, accY: -60, accZ: -19
13:00:06.699 - accX: 38, accY: -46, accZ: -39
13:00:06.713 - accX: 37, accY: -53, accZ: -31
13:00:06.726 - accX: 34, accY: -54, accZ: -17
13:00:06.747 - accX: 32, accY: -56, accZ: -12
13:00:06.761 - accX: 32, accY: -57, accZ: -12
13:00:06.787 - accX: 31, accY: -54, accZ: -11
13:00:06.817 - accX: 37, accY: -52, accZ: -16
13:00:06.853 - accX: 36, accY: -49, accZ: -17
13:00:06.881 - accX: 36, accY: -47, accZ: -20
13:00:06.891 - accX: 37, accY: -50, accZ: -21
13:00:06.915 - accX: 36, accY: -51, accZ: -18
13:00:06.930 - accX: 37, accY: -50, accZ: -18
13:00:06.941 - accX: 35, accY: -48, accZ: -21
13:00:06.970 - accX: 35, accY: -47, accZ: -23
13:00:06.999 - accX: 34, accY: -48, accZ: -24
13:00:07.029 - accX: 34, accY: -51, accZ: -18
13:00:07.056 - accX: 36, accY: -55, accZ: -14
13:00:07.086 - accX: 41, accY: -56, accZ: -11
13:00:07.117 - accX: 45, accY: -52, accZ: -10
13:00:07.149 - accX: 52, accY: -51, accZ: -15
